#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T15:37:59 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T15:37:59	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/253/7&tab:{J/ApJS/253/7/table11}&key:source=J/ApJS/253/7/table11&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/253/7/table11
#-order=I
#-out=Cat
#-out=FName
#-out=m_PName
#-out=OName
#-out=f_FName
#-out=r_FName
#-out=SpTO
#-out=f_SpTO
#-out=r_SpTO
#-out=SpTIR
#-out=r_SpTIR
#-out=u_plx
#-out=plx
#-out=e_plx
#-out=pmtot
#-out=e_pmtot
#-out=AS
#-out=AS-flags
#-out=Teff
#-out=e_Teff
#-out=Note
#-out=PName
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_22530007
#Name: J/ApJS/253/7
#Title: A full-sky census of brown dwarfs within 20pc (Kirkpatrick+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apjs/253/7	
#INFO	publisher=CDS	
#INFO	creator=Kirkpatrick J.D.	
#INFO	related_resource=bibcode:2021ApJS..253....7K	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/253/7	
#INFO	publication_date=2023-10-24	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_ApJS_253_7_table11:
#Name: J/ApJS/253/7/table11
#Title: The full-sky 20-pc census of L, T, and Y dwarfs (known as of 2020 Oct)
#Column	Cat	(A7)	Catalog used for FName if any	[ucd=instr.setup;meta.table]
#Column	FName	(A19)	Full name, position-based identifier	[ucd=meta.id;meta.main]
#Column	m_PName	(A2)	Component ID on object	[ucd=meta.code.multip]
#Column	OName	(a21)	Other name	[ucd=meta.id]
#Column	f_FName	(A1)	Cross identification flags for Table A1 (1)	[ucd=meta.code]
#Column	r_FName	(a7)	Discovery Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTO	(a12)	Optical spectral type	[ucd=src.spType]
#Column	f_SpTO	(A1)	Flag on SpTO (2)	[ucd=meta.code]
#Column	r_SpTO	(A3)	Reference(s) for SpTO (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTIR	(a14)	Near-IR spectral type	[ucd=src.spType]
#Column	r_SpTIR	(a7)	Reference(s) for SpTIR (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	u_plx	(A1)	[:u ] Uncertainty flag (3)	[ucd=meta.code.error;pos.parallax]
#Column	plx	(F8.4)	[37.1/501.6]? Absolute parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F7.4)	[0.019/21.4]? Uncertainty in plx	[ucd=stat.error;pos.parallax]
#Column	pmtot	(F7.2)	[11.7/8151.6]? Total proper motion	[ucd=pos.pm]
#Column	e_pmtot	(F5.2)	[0.1/99.7]? Uncertainty in pmtot	[ucd=stat.error]
#Column	AS	(a6)	Source of the astrometry (see refs.dat file)	[ucd=meta.bib]
#Column	AS-flags	(A1)	Flags on astrometry (4)	[ucd=meta.code]
#Column	Teff	(I4)	[250/2338]? Effective surface temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I3)	[10/198]? Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	Note	(a7)	Special note(s) (5)	[ucd=meta.note]
#Column	PName	(A9)	Short name position code for object (HHMM+DDMM; J2000) as in other tables; column added by CDS	[ucd=meta.id]
#Column	SimbadName	(a28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Simbad or names (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad or names (declination part)	[ucd=pos.eq.dec;meta.main]
Cat;FName;m_PName;OName;f_FName;r_FName;SpTO;f_SpTO;r_SpTO;SpTIR;r_SpTIR;u_plx;plx;e_plx;pmtot;e_pmtot;AS;AS-flags;Teff;e_Teff;Note;PName;SimbadName;_RA;_DE
2MASSI ;J0755480+221218    ;  ;                     ; ;32     ;T6          ; ;197;T5            ;124    ; ; 67.4000; 3.2000; 257.10; 1.40;0     ; ;1001; 88;       ;0755+2212;2MASSI J0755480+221218      ;118.94981;+22.20471
       ;J075804-253735     ;  ;HIP 38939B           ; ;88     ;            ; ;   ;T4.5          ;88     ; ; 54.1012; 0.0386; 437.80; 0.10;168   ;a;1095; 88;       ;0758-2537;HIP 38939B                  ;119.50553;-25.64965
SDSS   ;J075840.33+324723.4;  ;                     ; ;57     ;T3          ; ;214;T2.5          ;124    ; ;101.3000; 3.3000; 400.90; 1.50;0     ; ;1169; 88;       ;0758+3247;SDSS J075840.33+324723.4    ;119.66813;+32.79000
WISEPC ;J075946.98-490454.0;  ;                     ; ;4      ;            ; ;   ;T8            ;4      ; ; 90.7000; 2.1000; 447.10; 1.10;0     ; ; 666; 88;       ;0759-4904;WISEP J075946.98-490454.0   ;119.94576;-49.08169
CWISE  ;J080556.14+515330.4;  ;                     ; ;0      ;            ; ;   ;[T7.5]        ;0      ;:; 64.2000;       ; 578.00;28.30;0     ; ; 751; 79;       ;0805+5153;CWISE J080556.14+515330.4   ;121.48393;+51.89178
WISEA  ;J080622.22-082046.5;  ;                     ; ;233    ;            ; ;   ;[T8]          ;233    ; ; 82.2000; 9.0000;1331.10;36.30;0     ; ; 819; 79;       ;0806-0820;WISEA J080622.22-082046.5   ;121.59261;-08.34624
WISE   ;J080700.23+413026.8;  ;                     ; ;20     ;            ; ;   ;L8~pec        ;20     ; ; 50.7000; 3.3000; 346.60; 1.80;0     ; ;1383; 88;       ;0807+4130;WISE J080700.23+413026.8    ;121.75103;+41.50847
       ;J080714-661848     ;  ;WD 0806-661B         ; ;65     ;            ; ;   ;[Y1]          ;1      ; ; 51.9342; 0.0195; 442.80; 0.10;168   ;a; 377; 88;       ;0807-6618;WD 0806-661B                ;121.81115;-66.31352
WISE   ;J081117.81-805141.3;  ;                     ; ;8      ;            ; ;   ;T9.5:         ;8      ; ; 99.1000; 7.7000; 293.40; 6.90;21,1  ; ; 479; 88;       ;0811-8051;WISE J081117.81-805141.3    ;122.82424;-80.86150
DENIS  ;J081730.0-615520   ;  ;                     ; ;38     ;            ; ;   ;T6            ;38     ; ;191.5301; 0.6037;1110.70; 1.70;168   ; ;1004; 91;       ;0817-6155;DENIS J081730.0-615520      ;124.37500;-61.92102
WISEPA ;J081958.05-033529.0;  ;                     ; ;4      ;T4          ; ;214;T4            ;4      ; ; 71.4000; 2.2000; 250.50; 1.00;200   ; ;1225; 88;       ;0819-0335;WISEP J081958.05-033529.0   ;124.99253;-03.59073
WISE   ;J082000.48-662211.9;  ;                     ; ;184    ;            ; ;   ;L9.5          ;184    ; ; 56.1000; 3.4000; 355.90; 2.90;0     ; ;1206; 88;       ;0820-6622;WISE J082000.48-662211.9    ;125.00316;-66.37084
WISE   ;J082507.35+280548.5;  ;                     ; ;9      ;            ; ;   ;Y0.5          ;9      ; ;152.6000; 2.0000; 245.10; 1.30;0     ; ; 376; 88;       ;0825+2805;WISE J082507.35+280548.5    ;126.28065;+28.09682
2MASSI ;J0825196+211552    ;  ;                     ; ;105    ;L7.5        ; ;105;L7            ;124    ; ; 93.1900; 0.5900; 581.10; 0.20;172   ; ;1341; 73;       ;0825+2115;2MASSI J0825196+211552      ;126.33172;+21.26432
WISEA  ;J082640.45-164031.8;  ;                     ; ;15     ;            ; ;   ;L9            ;15     ; ; 67.8000; 3.5000; 985.80; 3.80;0     ; ;1263; 88;       ;0826-1640;WISEA J082640.45-164031.8   ;126.67152;-16.67729
2MASS  ;J08283419-1309198  ;  ;SSSPM J0829-1309     ; ;130    ;L2          ; ;130;              ;       ; ; 85.5438; 0.1720; 582.20; 0.30;168   ; ;1983; 88;       ;0829-1309;2MASS J08283419-1309198     ;127.14238;-13.15551
SDSSp  ;J083008.12+482847.4;  ;                     ; ;122    ;L8          ; ;103;L9.5+/-1      ;124    ; ; 76.4200; 3.4300;1267.00; 6.50;68    ; ;1258; 97;       ;0830+4828;SDSSp J083008.12+482847.4   ;127.53396;+48.47987
WISEA  ;J083011.95+283716.0;  ;                     ; ;234    ;            ; ;   ;[>=Y1]        ;234    ;u; 90.6000;13.7000;2054.10;57.10;0     ; ; 367; 79;[121.4];0830+2837;WISEA J083011.95+283716.0   ;127.54988;+28.62130
WISE   ;J083337.83+005214.2;  ;                     ; ;13     ;            ; ;   ;(sd)T9        ;13     ; ; 79.7000; 3.1000;1777.30; 2.90;0     ; ; 472; 88;sd     ;0833+0052;WISE J083337.82+005214.1    ;128.40761;+00.87061
2MASSI ;J0835425-081923    ;  ;                     ; ;115    ;L5          ; ;115;L5            ;124    ; ;138.6098; 0.2781; 615.30; 0.60;168   ; ;1754;112;       ;0835-0819;2MASSI J0835425-081923      ;128.92721;-08.32316
CWISE  ;J084506.51-330532.7;  ;                     ; ;0      ;            ; ;   ;T7            ;0      ;:; 57.3000;       ;1061.80;35.10;0     ; ; 819; 79;       ;0845-3305;CWISE J084506.51-330532.7   ;131.27713;-33.09241
2MASSI ;J0847287-153237    ;  ;                     ; ;115    ;L2          ; ;115;              ;       ; ; 56.9235; 0.3167; 239.80; 0.80;168   ; ;1794; 81;       ;0847-1532;2MASSI J0847287-153237      ;131.86976;-15.54371
WISE   ;J085510.83-071442.5;  ;                     ; ;14,16  ;            ; ;   ;[Y4]          ;1      ; ;439.0000; 2.4000;8151.60; 1.80;0     ; ; 250; 50;       ;0855-0714;WISE J085510.83-071442.5    ;133.79513;-07.24515
WISEPA ;J085716.25+560407.6;  ;                     ; ;4      ;            ; ;   ;T8            ;4      ; ; 85.3000; 2.1000; 754.90; 1.30;0     ; ; 671; 88;       ;0857+5604;WISEP J085716.25+560407.6   ;134.31769;+56.06879
SDSSp  ;J085758.45+570851.4;  ;                     ; ;122    ;L8          ; ;103;L8            ;175    ; ; 71.2343; 1.0255; 565.50; 2.30;168   ; ;1455; 88;       ;0857+5708;SDSSp J085758.45+570851.4   ;134.49363;+57.14761
ULAS   ;J085910.69+101017.1;  ;                     ; ;64     ;            ; ;   ;T7            ;64     ; ; 50.3000; 1.7000; 712.70; 1.60;1     ; ; 709; 88;       ;0859+1010;ULAS J085910.69+101017.1    ;134.79453;+10.17142
2MASSI ;J0859254-194926    ;  ;                     ; ;115    ;L7:         ; ;120;L8            ;20     ; ; 71.2200; 3.5400; 337.50; 1.00;199   ; ;1374;100;       ;0859-1949;2MASSI J0859254-194926      ;134.85616;-19.82413
CWISEP ;J085908.26+152527.1;  ;                     ; ;232    ;            ; ;   ;[T8]          ;232    ;:; 53.2000;       ; 271.90;61.10;0     ; ; 686; 79;       ;0859+1525;CWISEP J085908.26+152527.1  ;134.78485;+15.42525
CWISEP ;J085938.95+534908.7;  ;                     ; ;232    ;            ; ;   ;[Y0]          ;232    ;:; 53.8000;       ; 392.40;52.30;0     ; ; 460; 79;       ;0859+5349;CWISEP J085938.95+534908.7  ;134.91382;+53.82026
ULAS   ;J090116.23-030635.0;  ;                     ; ;39     ;            ; ;   ;T7.5          ;39     ; ; 62.6000; 2.6000; 264.00; 3.60;70    ; ; 638; 88;       ;0901-0306;ULAS J090116.23-030635.0    ;135.31759;-03.10973
2MASSI ;J0908380+503208    ;  ;                     ; ;115    ;L5          ; ;115;L6            ;124    ; ; 95.8202; 0.6983; 628.60; 2.20;168   ; ;1360; 88;       ;0908+5032;2MASSI J0908380+503208      ;137.15837;+50.53561
SDSS   ;J090900.73+652527.2;  ;                     ; ;53     ;            ; ;   ;T1.5          ;124    ; ; 63.9000; 3.9000; 253.00; 1.80;0     ; ;1146; 88;       ;0909+6525;SDSS J090900.73+652527.2    ;137.25356;+65.42432
CWISE  ;J091105.02+214645.1;  ;                     ; ;0      ;            ; ;   ;T9            ;0      ;:; 72.8000;       ; 667.00; 2.50;0     ; ; 566; 79;       ;0911+2146;CWISE J091105.02+214645.1   ;137.77108;+21.78027
2MASS  ;J09153413+0422045  ;A ;                     ; ;117    ;L6:         ; ;209;              ;       ; ; 54.8460; 1.0970; 112.90; 2.80;168   ; ;1512;134;       ;0915+0422;WDS J09156+0422A            ;138.89235;+04.36801
2MASS  ;J09153413+0422045  ;B ;                     ; ;117    ;L7::        ; ;209;              ;       ; ; 54.8460; 1.0970; 112.90; 2.80;168   ; ;1420;134;       ;0915+0422;WDS J09156+0422B            ;138.89177;+04.36795
CWISE  ;J091735.38-634451.2;  ;                     ; ;0      ;            ; ;   ;L7            ;0      ;:; 62.2000;       ; 110.00; 8.80;0     ; ;1420;134;       ;0917-6344;CWISE J091735.38-634451.2   ;139.39779;-63.74764
WISE   ;J092055.40+453856.3;  ;                     ; ;89     ;            ; ;   ;L9            ;8      ; ; 79.4000; 3.9000; 856.60; 4.80;237   ; ;1288; 88;       ;0920+4538;WISE J092055.40+453856.3    ;140.23118;+45.65141
2MASS  ;J09211410-2104446  ;  ;SIPS J0921-2104      ; ;117,131;L2          ; ;117;L4:~(blue)    ;132,133; ; 79.3128; 0.2253; 944.20; 0.50;168   ; ;1930; 88;       ;0921-2104;2MASS J09211410-2104446     ;140.30878;-21.07900
CWISE  ;J092503.20-472013.8;  ;                     ; ;0      ;            ; ;   ;[Y0]          ;0      ;:; 93.3000;       ; 808.00;57.20;0     ; ; 460; 79;       ;0925-4720;CWISE J092503.20-472013.8   ;141.26335;-47.33716
2MASSI ;J0937347+293142    ;  ;                     ; ;32     ;T7          ; ;197;T6pec         ;61     ; ;162.8400; 3.8800;1622.00; 7.10;68    ; ; 881; 74;sd     ;0937+2931;2MASSI J0937347+293142      ;144.39533;+29.52805
CWISEP ;J093852.89+063440.6;  ;                     ; ;232    ;            ; ;   ;[Y0]          ;232    ;u; 67.9000;13.8000; 792.90;50.60;0     ; ; 460; 79;[53.2] ;0938+0634;CWISEP J093852.89+063440.6  ;144.71871;+06.58090
2MASS  ;J09393548-2448279  ;A ;                     ; ;29     ;            ; ;   ;[T8]          ;61     ; ;187.3000; 4.6000;1191.70; 3.40;71    ; ; 686; 79;sd     ;0939-2448;2MASS J09393548-2448279     ;144.89787;-24.80776
2MASS  ;J09393548-2448279  ;B:;                     ; ;29     ;            ; ;   ;[T8]          ;61     ; ;187.3000; 4.6000;1191.70; 3.40;71    ; ; 686; 79;       ;0939-2448;2MASS J09393548-2448279     ;144.89787;-24.80776
CWISEP ;J094005.50+523359.2;  ;                     ; ;232    ;            ; ;   ;[>=Y1]        ;232    ;u; 66.4000;12.2000; 491.20;51.90;0     ; ; 367; 79;[75.0] ;0940+5233;CWISEP J094005.50+523359.2  ;145.02528;+52.56761
WISE   ;J094305.98+360723.5;  ;                     ; ;18     ;            ; ;   ;T9.5          ;18     ; ; 97.1000; 2.9000; 836.30; 1.80;0     ; ; 468; 88;       ;0943+3607;WISE J094305.98+360723.5    ;145.77495;+36.12321
WISE   ;J095047.32+011733.3;  ;LHS 6176B            ; ;40,41  ;            ; ;   ;T8            ;19,8   ; ; 57.9000; 2.3000; 434.10; 1.30;1     ; ; 664; 88;sd     ;0950+0117;WISE J095047.32+011733.3    ;147.69631;+01.29346
2MASS  ;J09560810-1447065  ;  ;PSO J149.0341-14.7857; ;181    ;            ; ;   ;L9            ;181    ; ; 65.4000; 3.4000; 167.40; 6.40;237   ; ;1169; 88;       ;0956-1447;2MASS J09560810-1447065     ;149.03378;-14.78515
2MASS  ;J10043929-3335189  ;  ;LHS 5166B            ; ;135    ;L4          ; ;135;              ;       ; ; 53.4639; 0.0860; 488.80; 0.20;168   ;a;1753; 88;       ;1004-3335;2MASS J10043929-3335189     ;151.16384;-33.58864
2MASS  ;J10073369-4555147  ;  ;                     ; ;24     ;            ; ;   ;T5.5          ;24     ; ; 72.6400; 2.8000; 736.90; 1.20;200   ; ;1017; 94;       ;1007-4555;2MASS J10073369-4555147     ;151.89041;-45.92075
CWISEP ;J100854.84+203136.6;  ;                     ; ;232    ;            ; ;   ;[T9.5]        ;0      ;u; 37.1000;15.1000; 215.30;51.50;0     ; ; 511; 79;[53.9] ;1008+2031;CWISEP J100854.84+203136.6  ;152.22907;+20.52765
2MASSI ;J1010148-040649    ;  ;                     ; ;115    ;L6          ; ;115;L5            ;124    ; ; 57.7000; 3.6000; 320.00; 3.60;0     ; ;1416;123;       ;1010-0406;2MASSI J1010148-040649      ;152.56170;-04.11387
ULAS   ;J101243.54+102101.7;  ;                     ; ;26     ;            ; ;   ;T5.5          ;19     ; ; 59.7000; 1.8000; 680.20; 2.70;237   ; ; 799; 88;       ;1012+1021;ULAS J101243.54+102101.7    ;153.18140;+10.35047
DENIS  ;J1013-7842         ;  ;                     ; ;225    ;L3          ; ;225;              ;       ; ; 71.1390; 0.2987; 264.10; 0.90;168   ; ;1799; 88;       ;1013-7842;2MASS J10132597-7842551     ;153.35822;-78.71532
WISEPC ;J101808.05-244557.7;  ;                     ; ;4      ;            ; ;   ;T8            ;4      ; ; 83.0000; 2.8000; 822.50; 1.50;0     ; ; 627; 88;       ;1018-2445;WISEP J101808.05-244557.7   ;154.53352;-24.76610
2MASS  ;J10224821+5825453  ;  ;                     ; ;112    ;L1{beta}    ; ;110;L1{beta}      ;175    ; ; 54.3331; 0.3143;1095.70; 0.50;168   ; ;1823;136;yng    ;1022+5825;2MASS J10224821+5825453     ;155.70092;+58.42928
WISE   ;J102557.72+030755.7;  ;                     ; ;8      ;            ; ;   ;T8.5          ;8      ; ; 83.6000; 2.3000;1211.50; 1.40;0     ; ; 594; 88;       ;1025+0307;WISE J102557.72+030755.7    ;156.49050;+03.13214
2MASSI ;J1029216+162652    ;  ;                     ; ;105    ;L2.5        ; ;105;L2.8          ;106    ; ; 52.3361; 0.7414; 508.90; 1.30;168   ; ;1834; 88;       ;1029+1626;2MASSI J1029216+162652      ;157.34043;+16.44775
ULAS   ;J102940.52+093514.6;  ;                     ; ;19     ;            ; ;   ;T8            ;20     ; ; 68.6000; 1.7000; 442.90; 2.70;237   ; ; 709; 88;       ;1029+0935;ULAS J102940.52+093514.6    ;157.41988;+09.58770
CWISEP ;J103453.14+161228.0;  ;                     ; ;232    ;            ; ;   ;[T7.5]        ;232    ;:; 52.1000;       ; 242.30;52.20;0     ; ; 751; 79;       ;1034+1612;CWISEP J103453.14+161228.0  ;158.72240;+16.20835
2MASSW ;J1036530-344138    ;  ;                     ; ;135    ;L6          ; ;135;L6.5          ;124    ; ; 68.0213; 1.7241; 456.90; 4.30;168   ; ;1368;131;       ;1036-3441;2MASSW J1036530-344138      ;159.22109;-34.69399
WISEPC ;J104245.23-384238.3;  ;                     ; ;4      ;            ; ;   ;T8.5          ;4      ; ; 65.4000; 3.4000;  93.70; 6.20;21,1  ; ; 570; 88;       ;1042-3842;WISEP J104245.23-384238.3   ;160.68846;-38.71065
2MASS  ;J10430758+2225236  ;  ;                     ; ;120    ;L8          ; ;120;L9            ;62     ; ; 52.4000; 2.9000; 132.20; 4.60;237   ; ;1377; 88;       ;1043+2225;2MASS J10430758+2225236     ;160.78160;+22.42322
SDSS   ;J104335.08+121314.1;  ;                     ; ;53     ;            ; ;   ;L9            ;133    ; ; 59.9000; 3.1000; 254.30; 4.70;237   ; ;1252; 88;       ;1043+1213;SDSS J104335.08+121314.1    ;160.89618;+12.22082
SDSS   ;J104523.98-014957.7;  ;                     ; ;136    ;L1          ; ;136;L1            ;112    ; ; 58.6576; 0.2384; 507.80; 0.50;168   ; ;2091; 88;       ;1045-0149;SDSS J104523.98-014957.7    ;161.34992;-01.83271
2MASSI ;J1047538+212423    ;  ;                     ; ;43     ;T7          ; ;197;T6.5          ;61     ; ; 94.7300; 3.8100;1728.40; 7.70;68    ; ; 880; 76;       ;1047+2124;2MASSI J1047538+212423      ;161.97439;+21.40652
CWISEP ;J104756.81+545741.6;  ;                     ; ;232    ;            ; ;   ;[Y0]          ;232    ; ; 75.2000;12.8000; 452.70;54.60;0     ; ; 460; 79;       ;1047+5457;CWISEP J104756.81+545741.6  ;161.98976;+54.96204
SDSS   ;J104842.84+011158.5;  ;                     ; ;136    ;L1          ; ;136;L4            ;137    ; ; 66.4589; 0.2143; 497.20; 0.50;168   ; ;2078; 88;       ;1048+0111;SDSS J104842.84+011158.5    ;162.17839;+01.19951
WISE   ;J104915.57-531906.1;A ;                     ; ;90     ;L8:         ; ;211;L7.5          ;210    ; ;501.5570; 0.0820;2790.40; 0.20;179   ; ;1334; 58;       ;1049-5319;NAME WISE J1049-5319A       ;162.30843;-53.31806
WISE   ;J104915.57-531906.1;B ;                     ; ;90     ;T1.5::      ; ;211;T0.5:         ;210    ; ;501.5570; 0.0820;2790.40; 0.20;179   ; ;1261; 55;       ;1049-5319;NAME WISE J1049-5319B       ;162.30864;-53.31828
2MASS  ;J10511900+5613086  ;  ;                     ; ;117    ;L2          ; ;117;L0.8          ;106    ; ; 63.9956; 0.1886; 389.00; 0.40;168   ; ;2006; 88;       ;1051+5613;2MASS J10511900+5613086     ;162.82914;+56.21908
WISE   ;J105130.01-213859.7;  ;                     ; ;8      ;            ; ;   ;T8.5          ;22     ; ; 64.0000; 2.3000; 202.20; 1.40;0     ; ; 575; 88;       ;1051-2138;WISE J105130.01-213859.7    ;162.87507;-21.64992
WISE   ;J105257.95-194250.2;  ;                     ; ;20     ;            ; ;   ;T7.5          ;20     ; ; 67.8000; 2.2000; 447.50; 3.00;0     ; ; 785; 88;       ;1052-1942;WISE J105257.95-194250.2    ;163.24146;-19.71394
CWISE  ;J105512.11+544328.3;  ;                     ; ;0      ;            ; ;   ;[sdT8]        ;0      ; ;145.0000;14.7000;1534.90; 2.90;0     ; ; 686; 79;       ;1055+5443;CWISE J105512.11+544328.3   ;163.80050;+54.72453
WISEA  ;J105553.62-165216.5;  ;                     ; ;6      ;            ; ;   ;T9.5          ;22     ; ; 71.7000; 2.3000;1084.10; 1.40;0     ; ; 511; 79;       ;1055-1652;WISEA J105553.62-165216.5   ;163.97331;-16.87120
DENIS-P;J1058.7-1548       ;  ;                     ; ;138    ;L3          ; ;139;L3            ;124    ; ; 54.6468; 0.5213; 259.90; 1.10;168   ; ;1809; 68;       ;1058-1548;DENIS-P J1058.7-1548        ;164.69932;-15.80479
CWISE  ;J110201.76+350334.7;  ;                     ; ;0      ;            ; ;   ;[T9]          ;233    ;:; 59.3000;       ; 170.40;57.10;0     ; ; 566; 79;       ;1102+3503;CWISE J110201.76+350334.7   ;165.50743;+35.05990
2MASSI ;J1104012+195921    ;  ;                     ; ;140    ;L4.5        ; ;140;L5.5          ;124    ; ; 55.9160; 0.4448; 133.80; 1.20;168   ; ;1722; 88;       ;1104+1959;2MASSI J1104012+195921      ;166.00532;+19.98936
2MASSW ;J1108307+683017    ;  ;                     ; ;142    ;L1{gamma}   ; ;175;L1{gamma}     ;175    ; ; 61.3537; 0.1985; 309.40; 0.50;168   ; ;1951;197;yng    ;1108+6830;2MASSW J1108307+683017      ;167.12822;+68.50464
SDSSp  ;J111010.01+011613.1;  ;                     ; ;122    ;            ; ;   ;T5.5          ;61     ; ; 52.1000; 1.2000; 355.00; 0.70;67    ; ; 926; 18;yng    ;1110+0116;SDSSp J111010.01+011613.1   ;167.54171;+01.27030
WISE   ;J111239.24-385700.7;  ;                     ; ;6      ;            ; ;   ;T9            ;6      ; ;102.6000; 3.7000; 951.40; 2.20;0     ; ; 461; 88;       ;1112-3857;WISE J111239.24-385700.7    ;168.16350;-38.95021
2MASS  ;J11145133-2618235  ;  ;                     ; ;29     ;T8          ; ;214;T7.5          ;61     ; ;179.2000; 1.4000;3043.20; 1.10;67    ; ; 669; 55;       ;1114-2618;2MASS J11145133-2618235     ;168.71390;-26.30654
WISE   ;J111838.70+312537.9;  ;                     ; ;2,44   ;            ; ;   ;T8.5          ;44     ; ;114.4867; 0.4316; 696.20; 1.10;168   ;a; 559; 88;       ;1118+3125;WISE J111838.70+312537.9    ;169.66125;+31.42720
CWISE  ;J112106.36-623221.5;  ;                     ; ;0      ;            ; ;   ;[Y0]          ;0      ;:; 96.8000;       ; 669.00;69.80;0     ; ; 460; 79;       ;1121-6232;CWISE J112106.36-623221.5   ;170.27645;-62.53929
       ;J112149-131308     ;  ;LHS 2397aB           ; ;93     ;            ; ;   ;[L7.5]        ;180    ; ; 69.4903; 0.1760; 474.50; 0.40;168   ;a;1282; 88;       ;1121-1313;NAME LHS 2397 aB            ;170.45500;-13.21917
2MASS  ;J11220826-3512363  ;  ;                     ; ;29     ;            ; ;   ;T2            ;124    ; ; 74.8605; 1.5536; 296.10; 3.60;168   ; ;1269; 88;       ;1122-3512;2MASS J11220826-3512363     ;170.53441;-35.21016
WISEPC ;J112254.73+255021.5;  ;                     ; ;4      ;            ; ;   ;T6            ;4      ; ; 66.3000; 2.3000;1028.60; 1.20;1     ; ; 855; 88;       ;1122+2550;WISEP J112254.73+255021.5   ;170.73127;+25.84030
WISE   ;J112438.12-042149.7;  ;                     ; ;8      ;            ; ;   ;T7            ;8      ; ; 59.4000; 2.9000; 572.90; 1.80;0     ; ; 819; 79;       ;1124-0421;WISE J112438.12-042149.7    ;171.16058;-04.36401
2MASS  ;J11263991-5003550  ;  ;                     ; ;143    ;L4.5        ; ;132;L6.5+/-2~pec  ;132,133; ; 61.6319; 0.3273;1651.90; 0.60;168   ; ;1718; 88;       ;1126-5003;2MASS J11263991-5003550     ;171.66585;-50.06523
SIMP   ;J11322058-3809562  ;  ;                     ; ;94     ;            ; ;   ;L8:~pec       ;94     ; ; 59.0000; 3.5000; 236.10; 3.40;0     ; ;1284; 88;       ;1132-3809;SIMP J1132205-380956        ;173.08577;-38.16562
CWISE  ;J113833.47+721207.8;  ;                     ; ;0      ;            ; ;   ;[T7.5]        ;0      ;u; 40.7000; 7.1000; 517.70; 1.80;0     ; ; 751; 79;[54.6] ;1138+7212;CWISE J113833.47+721207.8   ;174.64163;+72.20194
CWISE  ;J114120.42-211024.5;  ;                     ; ;0      ;            ; ;   ;T9:           ;0      ;:; 57.9000;       ;1007.50;21.90;0     ; ; 566; 79;       ;1141-2110;CWISE J114120.42-211024.5   ;175.33679;-21.17317
WISEA  ;J114156.67-332635.5;  ;                     ; ;21     ;            ; ;   ;Y0            ;6      ; ;104.0000; 2.9000; 914.10; 2.60;0     ; ; 460; 79;       ;1141-3326;WISEA J114156.67-332635.5   ;175.48631;-33.44329
WISEP  ;J115013.88+630240.7;  ;                     ; ;4      ;            ; ;   ;T8            ;4      ; ;121.4000; 2.7000; 676.60; 1.40;0     ; ; 686; 79;       ;1150+6302;WISEP J115013.88+630240.7   ;177.55773;+63.04489
ULAS   ;J115239.94+113407.6;  ;                     ; ;19     ;            ; ;   ;T8.5          ;19     ; ; 56.7000; 2.7000; 489.50; 2.30;0     ; ; 643; 88;       ;1152+1134;ULAS J115239.94+113407.6    ;178.16641;+11.56878
2MASSW ;J1155395-372735    ;  ;                     ; ;135    ;L2          ; ;135;L2.3          ;106    ; ; 84.5693; 0.1867; 792.10; 0.30;168   ; ;1793; 80;       ;1155-3727;2MASSW J1155395-372735      ;178.91473;-37.45986
SDSSp  ;J120358.19+001550.3;  ;                     ; ;121    ;L3          ; ;121;L5            ;106    ; ; 67.2362; 0.5553;1250.00; 1.40;168   ; ;1712; 88;       ;1203+0015;SDSSp J120358.19+001550.3   ;180.99223;+00.26392
